direction,datetime,date,year,week,weekday,hour
incoming,2025-11-28 14:32:05.326,2025-11-28,2025,48,4,14
incoming,2025-11-28 14:30:13.776,2025-11-28,2025,48,4,14
incoming,2025-11-28 14:23:24.683,2025-11-28,2025,48,4,14
incoming,2025-11-28 14:00:11.431,2025-11-28,2025,48,4,14
incoming,2025-11-28 13:48:17.407,2025-11-28,2025,48,4,13
incoming,2025-11-28 13:20:11.185,2025-11-28,2025,48,4,13
incoming,2025-11-28 12:04:50.363,2025-11-28,2025,48,4,12
incoming,2025-11-28 12:01:36.383,2025-11-28,2025,48,4,12
incoming,2025-11-28 10:28:28.804,2025-11-28,2025,48,4,10
incoming,2025-11-28 10:11:41.519,2025-11-28,2025,48,4,10
incoming,2025-11-28 09:52:41.322,2025-11-28,2025,48,4,9
incoming,2025-11-28 09:51:28.811,2025-11-28,2025,48,4,9
incoming,2025-11-28 09:12:13.484,2025-11-28,2025,48,4,9
incoming,2025-11-28 07:34:57.891,2025-11-28,2025,48,4,7
incoming,2025-11-28 06:59:34.800,2025-11-28,2025,48,4,6
incoming,2025-11-27 22:43:53.690,2025-11-27,2025,48,3,22
incoming,2025-11-27 22:30:39.644,2025-11-27,2025,48,3,22
incoming,2025-11-27 22:14:54.850,2025-11-27,2025,48,3,22
incoming,2025-11-27 22:05:06.072,2025-11-27,2025,48,3,22
incoming,2025-11-27 21:49:00.204,2025-11-27,2025,48,3,21
incoming,2025-11-27 21:47:49.939,2025-11-27,2025,48,3,21
incoming,2025-11-27 19:02:50.413,2025-11-27,2025,48,3,19
incoming,2025-11-27 18:40:49.695,2025-11-27,2025,48,3,18
incoming,2025-11-27 18:36:34.999,2025-11-27,2025,48,3,18
incoming,2025-11-27 18:01:45.035,2025-11-27,2025,48,3,18
incoming,2025-11-27 15:51:20.316,2025-11-27,2025,48,3,15
incoming,2025-11-27 15:44:21.951,2025-11-27,2025,48,3,15
incoming,2025-11-27 15:28:23.271,2025-11-27,2025,48,3,15
incoming,2025-11-27 15:23:12.195,2025-11-27,2025,48,3,15
incoming,2025-11-27 15:21:33.265,2025-11-27,2025,48,3,15
incoming,2025-11-27 15:03:56.054,2025-11-27,2025,48,3,15
incoming,2025-11-27 14:50:03.953,2025-11-27,2025,48,3,14
incoming,2025-11-27 13:59:49.232,2025-11-27,2025,48,3,13
incoming,2025-11-27 12:59:29.967,2025-11-27,2025,48,3,12
incoming,2025-11-27 09:54:41.916,2025-11-27,2025,48,3,9
incoming,2025-11-27 09:15:25.209,2025-11-27,2025,48,3,9
incoming,2025-11-27 09:09:43.735,2025-11-27,2025,48,3,9
incoming,2025-11-27 09:05:38.547,2025-11-27,2025,48,3,9
incoming,2025-11-27 09:04:48.371,2025-11-27,2025,48,3,9
incoming,2025-11-27 08:54:46.280,2025-11-27,2025,48,3,8
incoming,2025-11-27 08:48:56.439,2025-11-27,2025,48,3,8
incoming,2025-11-27 08:45:07.799,2025-11-27,2025,48,3,8
incoming,2025-11-27 07:56:19.793,2025-11-27,2025,48,3,7
incoming,2025-11-27 06:24:41.614,2025-11-27,2025,48,3,6
incoming,2025-11-27 01:49:09.045,2025-11-27,2025,48,3,1
incoming,2025-11-26 18:42:21.394,2025-11-26,2025,48,2,18
incoming,2025-11-26 16:34:17.288,2025-11-26,2025,48,2,16
incoming,2025-11-26 16:14:20.562,2025-11-26,2025,48,2,16
incoming,2025-11-26 14:29:00.005,2025-11-26,2025,48,2,14
incoming,2025-11-26 13:21:33.154,2025-11-26,2025,48,2,13
incoming,2025-11-26 11:43:49.552,2025-11-26,2025,48,2,11
incoming,2025-11-26 11:28:22.203,2025-11-26,2025,48,2,11
incoming,2025-11-26 11:26:17.430,2025-11-26,2025,48,2,11
incoming,2025-11-26 11:01:20.692,2025-11-26,2025,48,2,11
incoming,2025-11-26 10:29:45.144,2025-11-26,2025,48,2,10
incoming,2025-11-26 09:51:39.544,2025-11-26,2025,48,2,9
incoming,2025-11-26 09:16:06.508,2025-11-26,2025,48,2,9
incoming,2025-11-26 08:58:20.681,2025-11-26,2025,48,2,8
incoming,2025-11-26 08:26:43.626,2025-11-26,2025,48,2,8
incoming,2025-11-26 07:36:05.196,2025-11-26,2025,48,2,7
incoming,2025-11-26 07:14:07.766,2025-11-26,2025,48,2,7
incoming,2025-11-26 06:39:12.329,2025-11-26,2025,48,2,6
incoming,2025-11-26 06:03:42.364,2025-11-26,2025,48,2,6
incoming,2025-11-26 05:56:53.133,2025-11-26,2025,48,2,5
incoming,2025-11-26 05:47:41.084,2025-11-26,2025,48,2,5
incoming,2025-11-25 23:38:12.491,2025-11-25,2025,48,1,23
incoming,2025-11-25 23:36:30.341,2025-11-25,2025,48,1,23
incoming,2025-11-25 21:44:16.906,2025-11-25,2025,48,1,21
incoming,2025-11-25 20:16:58.150,2025-11-25,2025,48,1,20
incoming,2025-11-25 19:01:16.737,2025-11-25,2025,48,1,19
incoming,2025-11-25 17:55:28.889,2025-11-25,2025,48,1,17
incoming,2025-11-25 16:47:50.598,2025-11-25,2025,48,1,16
incoming,2025-11-25 16:02:14.573,2025-11-25,2025,48,1,16
incoming,2025-11-25 15:01:07.673,2025-11-25,2025,48,1,15
incoming,2025-11-25 13:59:01.709,2025-11-25,2025,48,1,13
incoming,2025-11-25 13:36:48.578,2025-11-25,2025,48,1,13
incoming,2025-11-25 13:21:07.846,2025-11-25,2025,48,1,13
incoming,2025-11-25 13:10:45.302,2025-11-25,2025,48,1,13
incoming,2025-11-25 12:56:08.794,2025-11-25,2025,48,1,12
incoming,2025-11-25 11:52:07.211,2025-11-25,2025,48,1,11
incoming,2025-11-25 11:38:09.535,2025-11-25,2025,48,1,11
incoming,2025-11-25 11:08:38.353,2025-11-25,2025,48,1,11
incoming,2025-11-25 10:29:19.270,2025-11-25,2025,48,1,10
incoming,2025-11-25 10:09:01.203,2025-11-25,2025,48,1,10
incoming,2025-11-25 10:03:20.095,2025-11-25,2025,48,1,10
incoming,2025-11-25 09:58:46.358,2025-11-25,2025,48,1,9
incoming,2025-11-25 09:56:59.607,2025-11-25,2025,48,1,9
incoming,2025-11-25 09:52:01.947,2025-11-25,2025,48,1,9
incoming,2025-11-25 09:48:49.132,2025-11-25,2025,48,1,9
incoming,2025-11-25 09:46:52.142,2025-11-25,2025,48,1,9
incoming,2025-11-25 09:41:50.252,2025-11-25,2025,48,1,9
incoming,2025-11-25 09:19:04.739,2025-11-25,2025,48,1,9
incoming,2025-11-25 08:59:12.296,2025-11-25,2025,48,1,8
incoming,2025-11-25 08:58:06.164,2025-11-25,2025,48,1,8
incoming,2025-11-25 08:47:41.706,2025-11-25,2025,48,1,8
incoming,2025-11-25 08:30:31.140,2025-11-25,2025,48,1,8
incoming,2025-11-25 08:30:28.767,2025-11-25,2025,48,1,8
incoming,2025-11-25 06:32:08.707,2025-11-25,2025,48,1,6
incoming,2025-11-24 20:22:12.277,2025-11-24,2025,48,0,20
incoming,2025-11-24 19:16:19.652,2025-11-24,2025,48,0,19
incoming,2025-11-24 19:10:47.818,2025-11-24,2025,48,0,19
incoming,2025-11-24 19:05:44.797,2025-11-24,2025,48,0,19
incoming,2025-11-24 18:55:45.567,2025-11-24,2025,48,0,18
incoming,2025-11-24 17:00:21.135,2025-11-24,2025,48,0,17
incoming,2025-11-24 16:46:06.604,2025-11-24,2025,48,0,16
incoming,2025-11-24 16:42:37.596,2025-11-24,2025,48,0,16
incoming,2025-11-24 16:41:39.330,2025-11-24,2025,48,0,16
incoming,2025-11-24 16:29:46.756,2025-11-24,2025,48,0,16
incoming,2025-11-24 15:43:24.600,2025-11-24,2025,48,0,15
incoming,2025-11-24 15:16:42.738,2025-11-24,2025,48,0,15
incoming,2025-11-24 15:08:18.374,2025-11-24,2025,48,0,15
incoming,2025-11-24 14:58:24.300,2025-11-24,2025,48,0,14
incoming,2025-11-24 14:34:28.517,2025-11-24,2025,48,0,14
incoming,2025-11-24 14:33:17.754,2025-11-24,2025,48,0,14
incoming,2025-11-24 14:12:11.224,2025-11-24,2025,48,0,14
incoming,2025-11-24 14:06:09.499,2025-11-24,2025,48,0,14
incoming,2025-11-24 14:03:35.615,2025-11-24,2025,48,0,14
incoming,2025-11-24 14:01:53.096,2025-11-24,2025,48,0,14
incoming,2025-11-24 13:27:36.345,2025-11-24,2025,48,0,13
incoming,2025-11-24 13:25:57.151,2025-11-24,2025,48,0,13
incoming,2025-11-24 13:24:27.610,2025-11-24,2025,48,0,13
incoming,2025-11-24 13:22:55.702,2025-11-24,2025,48,0,13
incoming,2025-11-24 12:43:54.608,2025-11-24,2025,48,0,12
incoming,2025-11-24 12:41:47.004,2025-11-24,2025,48,0,12
incoming,2025-11-24 12:38:18.528,2025-11-24,2025,48,0,12
incoming,2025-11-24 12:38:02.701,2025-11-24,2025,48,0,12
incoming,2025-11-24 12:31:24.958,2025-11-24,2025,48,0,12
incoming,2025-11-24 12:06:03.190,2025-11-24,2025,48,0,12
incoming,2025-11-24 11:35:14.480,2025-11-24,2025,48,0,11
incoming,2025-11-24 10:13:12.087,2025-11-24,2025,48,0,10
incoming,2025-11-24 10:08:52.490,2025-11-24,2025,48,0,10
incoming,2025-11-24 09:20:00.593,2025-11-24,2025,48,0,9
incoming,2025-11-24 09:12:29.001,2025-11-24,2025,48,0,9
incoming,2025-11-24 08:55:34.103,2025-11-24,2025,48,0,8
incoming,2025-11-24 08:51:45.109,2025-11-24,2025,48,0,8
incoming,2025-11-24 08:46:48.539,2025-11-24,2025,48,0,8
incoming,2025-11-24 08:38:41.276,2025-11-24,2025,48,0,8
incoming,2025-11-24 08:37:03.833,2025-11-24,2025,48,0,8
incoming,2025-11-24 08:15:36.869,2025-11-24,2025,48,0,8
incoming,2025-11-24 08:01:55.048,2025-11-24,2025,48,0,8
incoming,2025-11-24 07:57:40.235,2025-11-24,2025,48,0,7
incoming,2025-11-23 22:37:13.045,2025-11-23,2025,47,6,22
incoming,2025-11-23 21:36:40.797,2025-11-23,2025,47,6,21
incoming,2025-11-23 14:54:50.760,2025-11-23,2025,47,6,14
incoming,2025-11-22 20:45:55.762,2025-11-22,2025,47,5,20
incoming,2025-11-22 18:18:28.179,2025-11-22,2025,47,5,18
incoming,2025-11-22 13:58:53.277,2025-11-22,2025,47,5,13
incoming,2025-11-22 11:34:50.713,2025-11-22,2025,47,5,11
incoming,2025-11-21 20:26:34.619,2025-11-21,2025,47,4,20
incoming,2025-11-21 19:00:14.725,2025-11-21,2025,47,4,19
incoming,2025-11-21 16:55:30.448,2025-11-21,2025,47,4,16
incoming,2025-11-21 16:31:33.260,2025-11-21,2025,47,4,16
incoming,2025-11-21 16:10:03.837,2025-11-21,2025,47,4,16
incoming,2025-11-21 15:19:46.821,2025-11-21,2025,47,4,15
incoming,2025-11-21 13:29:59.077,2025-11-21,2025,47,4,13
incoming,2025-11-21 13:04:32.330,2025-11-21,2025,47,4,13
incoming,2025-11-21 11:54:26.006,2025-11-21,2025,47,4,11
incoming,2025-11-21 11:02:37.518,2025-11-21,2025,47,4,11
incoming,2025-11-21 11:01:56.097,2025-11-21,2025,47,4,11
incoming,2025-11-21 10:00:51.733,2025-11-21,2025,47,4,10
incoming,2025-11-20 19:54:31.333,2025-11-20,2025,47,3,19
incoming,2025-11-20 16:52:30.365,2025-11-20,2025,47,3,16
incoming,2025-11-20 16:47:31.498,2025-11-20,2025,47,3,16
incoming,2025-11-20 16:42:47.700,2025-11-20,2025,47,3,16
incoming,2025-11-20 16:30:23.744,2025-11-20,2025,47,3,16
incoming,2025-11-20 16:29:29.587,2025-11-20,2025,47,3,16
incoming,2025-11-20 16:26:48.281,2025-11-20,2025,47,3,16
incoming,2025-11-20 15:47:04.522,2025-11-20,2025,47,3,15
incoming,2025-11-20 13:04:50.522,2025-11-20,2025,47,3,13
incoming,2025-11-20 12:57:55.555,2025-11-20,2025,47,3,12
incoming,2025-11-20 12:57:20.440,2025-11-20,2025,47,3,12
incoming,2025-11-20 12:30:21.215,2025-11-20,2025,47,3,12
incoming,2025-11-20 12:29:26.817,2025-11-20,2025,47,3,12
incoming,2025-11-20 12:23:13.703,2025-11-20,2025,47,3,12
incoming,2025-11-20 11:58:27.098,2025-11-20,2025,47,3,11
incoming,2025-11-20 10:58:19.915,2025-11-20,2025,47,3,10
incoming,2025-11-20 10:38:58.205,2025-11-20,2025,47,3,10
incoming,2025-11-20 10:23:59.517,2025-11-20,2025,47,3,10
incoming,2025-11-20 09:06:49.055,2025-11-20,2025,47,3,9
incoming,2025-11-20 08:55:40.933,2025-11-20,2025,47,3,8
incoming,2025-11-20 07:33:34.127,2025-11-20,2025,47,3,7
incoming,2025-11-20 07:29:47.178,2025-11-20,2025,47,3,7
incoming,2025-11-20 07:23:24.299,2025-11-20,2025,47,3,7
incoming,2025-11-20 06:53:15.118,2025-11-20,2025,47,3,6
incoming,2025-11-20 05:34:20.840,2025-11-20,2025,47,3,5
incoming,2025-11-20 02:44:20.248,2025-11-20,2025,47,3,2
incoming,2025-11-19 22:58:31.575,2025-11-19,2025,47,2,22
incoming,2025-11-19 22:06:20.506,2025-11-19,2025,47,2,22
incoming,2025-11-19 22:02:33.404,2025-11-19,2025,47,2,22
incoming,2025-11-19 21:09:56.653,2025-11-19,2025,47,2,21
incoming,2025-11-19 20:36:05.546,2025-11-19,2025,47,2,20
incoming,2025-11-19 18:15:05.382,2025-11-19,2025,47,2,18
incoming,2025-11-19 18:14:36.437,2025-11-19,2025,47,2,18
incoming,2025-11-19 18:04:40.677,2025-11-19,2025,47,2,18
incoming,2025-11-19 18:03:32.093,2025-11-19,2025,47,2,18
incoming,2025-11-19 16:14:15.592,2025-11-19,2025,47,2,16
incoming,2025-11-19 15:37:18.033,2025-11-19,2025,47,2,15
incoming,2025-11-19 15:34:16.761,2025-11-19,2025,47,2,15
incoming,2025-11-19 15:22:26.823,2025-11-19,2025,47,2,15
incoming,2025-11-19 15:09:38.699,2025-11-19,2025,47,2,15
incoming,2025-11-19 15:01:36.799,2025-11-19,2025,47,2,15
incoming,2025-11-19 14:51:12.242,2025-11-19,2025,47,2,14
incoming,2025-11-19 14:50:46.970,2025-11-19,2025,47,2,14
incoming,2025-11-19 14:11:58.338,2025-11-19,2025,47,2,14
incoming,2025-11-19 14:02:12.812,2025-11-19,2025,47,2,14
incoming,2025-11-19 14:00:00.406,2025-11-19,2025,47,2,14
incoming,2025-11-19 13:58:34.228,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:58:02.311,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:57:50.507,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:57:31.748,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:57:28.992,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:39:35.557,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:25:00.966,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:24:39.033,2025-11-19,2025,47,2,13
incoming,2025-11-19 13:03:17.259,2025-11-19,2025,47,2,13
incoming,2025-11-19 12:52:01.007,2025-11-19,2025,47,2,12
incoming,2025-11-19 12:45:59.667,2025-11-19,2025,47,2,12
incoming,2025-11-19 11:35:19.894,2025-11-19,2025,47,2,11
incoming,2025-11-19 11:14:34.758,2025-11-19,2025,47,2,11
incoming,2025-11-19 11:00:07.439,2025-11-19,2025,47,2,11
incoming,2025-11-19 10:26:23.788,2025-11-19,2025,47,2,10
incoming,2025-11-19 09:08:00.685,2025-11-19,2025,47,2,9
incoming,2025-11-19 09:05:37.531,2025-11-19,2025,47,2,9
incoming,2025-11-19 08:56:03.640,2025-11-19,2025,47,2,8
incoming,2025-11-19 08:46:50.503,2025-11-19,2025,47,2,8
incoming,2025-11-19 08:15:21.972,2025-11-19,2025,47,2,8
